"Pair_Name","Ligand_ApprovedSymbol","Receptor_ApprovedSymbol"
"Psd_Kcnk1","Psd","Kcnk1"
"Taok3_Kcnk1","Taok3","Kcnk1"
"Ube2I_Kcnk1","Ube2I","Kcnk1"
"Sumo1_Kcnk1","Sumo1","Kcnk1"
"Senp1_Kcnk1","Senp1","Kcnk1"
"Rev3l_Fam107a","Rev3l","Fam107a"
"Fkbp6_Fam107a","Fkbp6","Fam107a"
"Skiv2l_Fam107a","Skiv2l","Fam107a"
"Man2B2_Naaa","Man2B2","Naaa"
"Entpd6_Naaa","Entpd6","Naaa"
"Siae_Naaa","Siae","Naaa"
"Tmem2_Naaa","Tmem2","Naaa"
"Gopc_Cspg5","Gopc","Cspg5"
"Erbb3_Cspg5","Erbb3","Cspg5"
"Colec12_Cspg5","Colec12","Cspg5"
"Tmx1_Cspg5","Tmx1","Cspg5"
"Mlx_Cspg5","Mlx","Cspg5"
"Lypd1_Eogt","Lypd1","Eogt"
"Man2a1_Eogt","Man2a1","Eogt"
"Man2a2_Eogt","Man2a2","Eogt"
"Slc7a14_Eogt","Slc7a14","Eogt"
"Hmcn2_Eogt","Hmcn2","Eogt"
"Mib1_Fam171b","Mib1","Fam171b"
"Fam171a1_Fam171b","Fam171a1","Fam171b"
"Fam171a2_Fam171b","Fam171a2","Fam171b"
"Phkg2_Fam171b","Phkg2","Fam171b"
"C4a_Fam171b","C4a","Fam171b"
"Mpz_Pmp22","Mpz","Pmp22"
"Siva1_Pmp22","Siva1","Pmp22"
"Canx_Pmp22","Canx","Pmp22"
"Pex19_Pmp22","Pex19","Pmp22"
"Smim3_Pmp22","Smim3","Pmp22"
"Camk2g_Camk2n1","Camk2g","Camk2n1"
"Grin2b_Camk2n1","Grin2b","Camk2n1"
"Camk2d_Camk2n1","Camk2d","Camk2n1"
"Myc_Camk2n1","Myc","Camk2n1"
"Zbtb17_Camk2n1","Zbtb17","Camk2n1"
"Smad2_Rgcc","Smad2","Rgcc"
"Cars2_Rgcc","Cars2","Rgcc"
"Plk1_Rgcc","Plk1","Rgcc"
"Tln1_Rgcc","Tln1","Rgcc"
"Tln2_Rgcc","Tln2","Rgcc"
"Epc1_Hopx","Epc1","Hopx"
"Srf_Hopx","Srf","Hopx"
"Hdac2_Hopx","Hdac2","Hopx"
"Crtam_Cadm1","Crtam","Cadm1"
"Epb41l1_Cadm1","Epb41l1","Cadm1"
"Epb41_Cadm1","Epb41","Cadm1"
"Epb41l2_Cadm1","Epb41l2","Cadm1"
"Epb41l3_Cadm1","Epb41l3","Cadm1"
"Cadm1_Atf7Ip","Cadm1","Atf7Ip"
"Vegfb_Vegfa","Vegfb","Vegfa"
"Pgf_Vegfa","Pgf","Vegfa"
"Flt1_Vegfa","Flt1","Vegfa"
"Nrp1_Vegfa","Nrp1","Vegfa"
"Nrp2_Vegfa","Nrp2","Vegfa"
"Kdr_Vegfa","Kdr","Vegfa"
"Kdr_Vegfa","Kdr","Vegfa"
"Nrp1_Vegfa","Nrp1","Vegfa"
"Nrp1_Vegfa","Nrp1","Vegfa"
"Vegfa_Vegfa","Vegfa","Vegfa"
"Vegfa_Nrp1","Vegfa","Nrp1"
"Vcan_Hapln1","Vcan","Hapln1"
"Mmp2_Hapln1","Mmp2","Hapln1"
"Mmp7_Hapln1","Mmp7","Hapln1"
"Mmp10_Hapln1","Mmp10","Hapln1"
"Acan_Hapln1","Acan","Hapln1"
"Pdpk1_Akt2","Pdpk1","Akt2"
"Egln1_Akt2","Egln1","Akt2"
"Eif4Ebp1_Akt2","Eif4Ebp1","Akt2"
"Vhl_Akt2","Vhl","Akt2"
"Ppp2ca_Akt2","Ppp2ca","Akt2"
"Casp3_Akt2","Casp3","Akt2"
"Myh13_Akt2","Myh13","Akt2"
"Znrf1_Glul","Znrf1","Glul"
"Tchp_Glul","Tchp","Glul"
"Hspd1_Glul","Hspd1","Glul"
"Kdsr_Glul","Kdsr","Glul"
"Tat_Glul","Tat","Glul"
"Glul_Skil","Glul","Skil"
"Glul_Pb2","Glul","Pb2"
"Pa_Glul","Pa","Glul"
"Chrna3_Lypd6","Chrna3","Lypd6"
"Chrna4_Lypd6","Chrna4","Lypd6"
"Ss18l2_Lypd6","Ss18l2","Lypd6"
"Dnm2_Lypd6","Dnm2","Lypd6"
"Dnm1_Lypd6","Dnm1","Lypd6"
"C11orf30_Lix1","C11orf30","Lix1"
"Fat3_Lix1","Fat3","Lix1"
"Fat1_Lix1","Fat1","Lix1"
"Dchs1_Lix1","Dchs1","Lix1"
"Dchs2_Lix1","Dchs2","Lix1"
"Mapre1_Clmn","Mapre1","Clmn"
"Mapre2_Clmn","Mapre2","Clmn"
"Mapre3_Clmn","Mapre3","Clmn"
"Vcl_Clmn","Vcl","Clmn"
"Tctex1d2_Clmn","Tctex1d2","Clmn"
"Nhp2l1_Gldc","Nhp2l1","Gldc"
"Tlr10_Gldc","Tlr10","Gldc"
"Spata13_Gldc","Spata13","Gldc"
"Cox4I1_Gldc","Cox4I1","Gldc"
"Jun_Gldc","Jun","Gldc"
"Mrpl58_Gldc","Mrpl58","Gldc"
"Rtn3_Ndrg4","Rtn3","Ndrg4"
"Rabac1_Ndrg4","Rabac1","Ndrg4"
"Tp53_Ndrg4","Tp53","Ndrg4"
"Gnb4_Ndrg4","Gnb4","Ndrg4"
"Gnb3_Ndrg4","Gnb3","Ndrg4"
"Cdk4_Ccnd2","Cdk4","Ccnd2"
"Cdkn1b_Ccnd2","Cdkn1b","Ccnd2"
"Cdkn1a_Ccnd2","Cdkn1a","Ccnd2"
"Cdk6_Ccnd2","Cdk6","Ccnd2"
"Rbl2_Ccnd2","Rbl2","Ccnd2"
"Adrb2_Ccnd2","Adrb2","Ccnd2"
"Ccnd2_Pcgf2","Ccnd2","Pcgf2"
"Ccnd2_Pcgf2","Ccnd2","Pcgf2"
"Ccnd2_Pcgf2","Ccnd2","Pcgf2"
"Ccnd2_Cdkn1a","Ccnd2","Cdkn1a"
"Pcgf2_Ccnd2","Pcgf2","Ccnd2"
"Xiap_Scara3","Xiap","Scara3"
"Senp1_Scara3","Senp1","Scara3"
"Cnot7_Scara3","Cnot7","Scara3"
"Sdccag8_Scara3","Sdccag8","Scara3"
"Syngr2_Scara3","Syngr2","Scara3"
"Cnot7_Scara3","Cnot7","Scara3"
"Hsd17b7_Msmo1","Hsd17b7","Msmo1"
"Cyp51a1_Msmo1","Cyp51a1","Msmo1"
"Nsdhl_Msmo1","Nsdhl","Msmo1"
"Eif3f_Msmo1","Eif3f","Msmo1"
"Eif3a_Msmo1","Eif3a","Msmo1"
"Fuca2_Mfge8","Fuca2","Mfge8"
"Itgb5_Mfge8","Itgb5","Mfge8"
"Pdgfrb_Mfge8","Pdgfrb","Mfge8"
"Myc_Mfge8","Myc","Mfge8"
"Ythdf1_Mfge8","Ythdf1","Mfge8"
"Ccdc90b_Mcur1","Ccdc90b","Mcur1"
"Mcu_Mcur1","Mcu","Mcur1"
"Cpt2_Mcur1","Cpt2","Mcur1"
"Surf4_Mcur1","Surf4","Mcur1"
"Sparc_Tgfb1","Sparc","Tgfb1"
"Sparc_Col5a1","Sparc","Col5a1"
"Sparc_Col3a1","Sparc","Col3a1"
"Sparc_Col1a1","Sparc","Col1a1"
"Sparc_Col1a2","Sparc","Col1a2"
"Sparc_Xrcc6","Sparc","Xrcc6"
"Sparc_Znf579","Sparc","Znf579"
"Sparc_Fn1","Sparc","Fn1"
"Sparc_Thbs1","Sparc","Thbs1"
"Sparc_Vegfa","Sparc","Vegfa"
"Sparc_Plg","Sparc","Plg"
"Sparc_Pdgfb","Sparc","Pdgfb"
"Agt_Ren","Agt","Ren"
"Agt_Ace","Agt","Ace"
"Agt_Agtr1","Agt","Agtr1"
"Agt_Agtr2","Agt","Agtr2"
"Agt_Ace2","Agt","Ace2"
"Agt_Cma1","Agt","Cma1"
"Agt_Atp6ap2","Agt","Atp6ap2"
"Agt_Edn1","Agt","Edn1"
"Agt_Kng1","Agt","Kng1"
"Agt_Enpep","Agt","Enpep"
"Nnat_Blcap","Nnat","Blcap"
"Nnat_Nap1l5","Nnat","Nap1l5"
"Nnat_Peg10","Nnat","Peg10"
"Nnat_Snrpn","Nnat","Snrpn"
"Nnat_Plagl1","Nnat","Plagl1"
"Nnat_Mest","Nnat","Mest"
"Nnat_Sgce","Nnat","Sgce"
"Nnat_Ndn","Nnat","Ndn"
"Nnat_Scg5","Nnat","Scg5"
"Nnat_Grb10","Nnat","Grb10"
"Sfrp5_Wnt5a","Sfrp5","Wnt5a"
"Sfrp5_Wnt8b","Sfrp5","Wnt8b"
"Sfrp5_Wnt8a","Sfrp5","Wnt8a"
"Sfrp5_Wnt1","Sfrp5","Wnt1"
"Sfrp5_Wnt7a","Sfrp5","Wnt7a"
"Sfrp5_Wnt9b","Sfrp5","Wnt9b"
"Sfrp5_Wnt5b","Sfrp5","Wnt5b"
"Sfrp5_Wnt2b","Sfrp5","Wnt2b"
"Sfrp5_Wnt3a","Sfrp5","Wnt3a"
"Sfrp5_Wnt10a","Sfrp5","Wnt10a"
"Sfrp5_Sfrp2","Sfrp5","Sfrp2"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
